period,value,released,version
1993,51391,2016-04-01,v1
1993 APR,5380,2016-04-01,v1
1993 AUG,5110,2016-04-01,v1
1993 DEC,4288,2016-04-01,v1
1993 FEB,5961,2016-04-01,v1
1993 JAN,-1301,2016-04-01,v1
1993 JUL,2975,2016-04-01,v1
1993 JUN,4927,2016-04-01,v1
1993 MAR,8188,2016-04-01,v1
1993 MAY,5407,2016-04-01,v1
1993 NOV,4106,2016-04-01,v1
1993 OCT,2106,2016-04-01,v1
1993 Q1,12848,2016-04-01,v1
1993 Q2,15714,2016-04-01,v1
1993 Q3,12329,2016-04-01,v1
1993 Q4,10500,2016-04-01,v1
1993 SEP,4244,2016-04-01,v1
1994,46482,2016-04-01,v1
1994 APR,5970,2016-04-01,v1
1994 AUG,5618,2016-04-01,v1
1994 DEC,3534,2016-04-01,v1
1994 FEB,5521,2016-04-01,v1
1994 JAN,-1051,2016-04-01,v1
1994 JUL,2461,2016-04-01,v1
1994 JUN,3351,2016-04-01,v1
1994 MAR,8543,2016-04-01,v1
1994 MAY,5299,2016-04-01,v1
1994 NOV,3178,2016-04-01,v1
1994 OCT,1179,2016-04-01,v1
1994 Q1,13013,2016-04-01,v1
1994 Q2,14620,2016-04-01,v1
1994 Q3,10958,2016-04-01,v1
1994 Q4,7891,2016-04-01,v1
1994 SEP,2879,2016-04-01,v1
1995,39160,2016-04-01,v1
1995 APR,3974,2016-04-01,v1
1995 AUG,5814,2016-04-01,v1
1995 DEC,3703,2016-04-01,v1
1995 FEB,5146,2016-04-01,v1
1995 JAN,-2494,2016-04-01,v1
1995 JUL,1672,2016-04-01,v1
1995 JUN,3979,2016-04-01,v1
1995 MAR,7683,2016-04-01,v1
1995 MAY,4101,2016-04-01,v1
1995 NOV,3264,2016-04-01,v1
1995 OCT,-567,2016-04-01,v1
1995 Q1,10335,2016-04-01,v1
1995 Q2,12054,2016-04-01,v1
1995 Q3,10371,2016-04-01,v1
1995 Q4,6400,2016-04-01,v1
1995 SEP,2885,2016-04-01,v1
1996,29840,2016-04-01,v1
1996 APR,4833,2016-04-01,v1
1996 AUG,5312,2016-04-01,v1
1996 DEC,2270,2016-04-01,v1
1996 FEB,3845,2016-04-01,v1
1996 JAN,-3709,2016-04-01,v1
1996 JUL,297,2016-04-01,v1
1996 JUN,4247,2016-04-01,v1
1996 MAR,6349,2016-04-01,v1
1996 MAY,4832,2016-04-01,v1
1996 NOV,2359,2016-04-01,v1
1996 OCT,-3445,2016-04-01,v1
1996 Q1,6485,2016-04-01,v1
1996 Q2,13912,2016-04-01,v1
1996 Q3,8259,2016-04-01,v1
1996 Q4,1184,2016-04-01,v1
1996 SEP,2650,2016-04-01,v1
1997,15444,2016-04-01,v1
1997 APR,2644,2016-04-01,v1
1997 AUG,1367,2016-04-01,v1
1997 DEC,600,2016-04-01,v1
1997 FEB,2916,2016-04-01,v1
1997 JAN,-5288,2016-04-01,v1
1997 JUL,1902,2016-04-01,v1
1997 JUN,4270,2016-04-01,v1
1997 MAR,6724,2016-04-01,v1
1997 MAY,2728,2016-04-01,v1
1997 NOV,-2067,2016-04-01,v1
1997 OCT,-1965,2016-04-01,v1
1997 Q1,4352,2016-04-01,v1
1997 Q2,9642,2016-04-01,v1
1997 Q3,4882,2016-04-01,v1
1997 Q4,-3432,2016-04-01,v1
1997 SEP,1613,2016-04-01,v1
1998,-651,2016-04-01,v1
1998 APR,1576,2016-04-01,v1
1998 AUG,1704,2016-04-01,v1
1998 DEC,606,2016-04-01,v1
1998 FEB,110,2016-04-01,v1
1998 JAN,-7429,2016-04-01,v1
1998 JUL,-3005,2016-04-01,v1
1998 JUN,3028,2016-04-01,v1
1998 MAR,2130,2016-04-01,v1
1998 MAY,3521,2016-04-01,v1
1998 NOV,2646,2016-04-01,v1
1998 OCT,-6741,2016-04-01,v1
1998 Q1,-5189,2016-04-01,v1
1998 Q2,8125,2016-04-01,v1
1998 Q3,-98,2016-04-01,v1
1998 Q4,-3489,2016-04-01,v1
1998 SEP,1203,2016-04-01,v1
1999,-11299,2016-04-01,v1
1999 APR,140,2016-04-01,v1
1999 AUG,1226,2016-04-01,v1
1999 DEC,1145,2016-04-01,v1
1999 FEB,-2399,2016-04-01,v1
1999 JAN,-7100,2016-04-01,v1
1999 JUL,-3686,2016-04-01,v1
1999 JUN,2191,2016-04-01,v1
1999 MAR,429,2016-04-01,v1
1999 MAY,3192,2016-04-01,v1
1999 NOV,2248,2016-04-01,v1
1999 OCT,-7607,2016-04-01,v1
1999 Q1,-9070,2016-04-01,v1
1999 Q2,5523,2016-04-01,v1
1999 Q3,-3538,2016-04-01,v1
1999 Q4,-4214,2016-04-01,v1
1999 SEP,-1078,2016-04-01,v1
2000,-15656,2016-04-01,v1
2000 APR,2747,2016-04-01,v1
2000 AUG,5691,2016-04-01,v1
2000 DEC,1966,2016-04-01,v1
2000 FEB,-1137,2016-04-01,v1
2000 JAN,-9694,2016-04-01,v1
2000 JUL,-5671,2016-04-01,v1
2000 JUN,5446,2016-04-01,v1
2000 MAR,-1597,2016-04-01,v1
2000 MAY,-6059,2016-04-01,v1
2000 NOV,3566,2016-04-01,v1
2000 OCT,-6610,2016-04-01,v1
2000 Q1,-12428,2016-04-01,v1
2000 Q2,2134,2016-04-01,v1
2000 Q3,-4284,2016-04-01,v1
2000 Q4,-1078,2016-04-01,v1
2000 SEP,-4304,2016-04-01,v1
2001,-7450,2016-04-01,v1
2001 APR,-1613,2016-04-01,v1
2001 AUG,1113,2016-04-01,v1
2001 DEC,3434,2016-04-01,v1
2001 FEB,-2303,2016-04-01,v1
2001 JAN,-11511,2016-04-01,v1
2001 JUL,-4774,2016-04-01,v1
2001 JUN,2337,2016-04-01,v1
2001 MAR,-97,2016-04-01,v1
2001 MAY,4144,2016-04-01,v1
2001 NOV,5691,2016-04-01,v1
2001 OCT,-4899,2016-04-01,v1
2001 Q1,-13911,2016-04-01,v1
2001 Q2,4868,2016-04-01,v1
2001 Q3,-2633,2016-04-01,v1
2001 Q4,4226,2016-04-01,v1
2001 SEP,1028,2016-04-01,v1
2002,20168,2016-04-01,v1
2002 APR,377,2016-04-01,v1
2002 AUG,3850,2016-04-01,v1
2002 DEC,5252,2016-04-01,v1
2002 FEB,-88,2016-04-01,v1
2002 JAN,-8035,2016-04-01,v1
2002 JUL,-3851,2016-04-01,v1
2002 JUN,5316,2016-04-01,v1
2002 MAR,2202,2016-04-01,v1
2002 MAY,5607,2016-04-01,v1
2002 NOV,7452,2016-04-01,v1
2002 OCT,-1615,2016-04-01,v1
2002 Q1,-5921,2016-04-01,v1
2002 Q2,11300,2016-04-01,v1
2002 Q3,3700,2016-04-01,v1
2002 Q4,11089,2016-04-01,v1
2002 SEP,3701,2016-04-01,v1
2003,33293,2016-04-01,v1
2003 APR,283,2016-04-01,v1
2003 AUG,5125,2016-04-01,v1
2003 DEC,4998,2016-04-01,v1
2003 FEB,2912,2016-04-01,v1
2003 JAN,-4489,2016-04-01,v1
2003 JUL,-2384,2016-04-01,v1
2003 JUN,5863,2016-04-01,v1
2003 MAR,2212,2016-04-01,v1
2003 MAY,7573,2016-04-01,v1
2003 NOV,7725,2016-04-01,v1
2003 OCT,-610,2016-04-01,v1
2003 Q1,635,2016-04-01,v1
2003 Q2,13719,2016-04-01,v1
2003 Q3,6826,2016-04-01,v1
2003 Q4,12113,2016-04-01,v1
2003 SEP,4085,2016-04-01,v1
2004,39489,2016-04-01,v1
2004 APR,4463,2016-04-01,v1
2004 AUG,6214,2016-04-01,v1
2004 DEC,5547,2016-04-01,v1
2004 FEB,1186,2016-04-01,v1
2004 JAN,-3828,2016-04-01,v1
2004 JUL,-1318,2016-04-01,v1
2004 JUN,3431,2016-04-01,v1
2004 MAR,1506,2016-04-01,v1
2004 MAY,7783,2016-04-01,v1
2004 NOV,8631,2016-04-01,v1
2004 OCT,725,2016-04-01,v1
2004 Q1,-1136,2016-04-01,v1
2004 Q2,15677,2016-04-01,v1
2004 Q3,10045,2016-04-01,v1
2004 Q4,14903,2016-04-01,v1
2004 SEP,5149,2016-04-01,v1
2005,46333,2016-04-01,v1
2005 APR,-8477,2016-04-01,v1
2005 AUG,6574,2016-04-01,v1
2005 DEC,6818,2016-04-01,v1
2005 FEB,3978,2016-04-01,v1
2005 JAN,-5166,2016-04-01,v1
2005 JUL,-3035,2016-04-01,v1
2005 JUN,11805,2016-04-01,v1
2005 MAR,4295,2016-04-01,v1
2005 MAY,12234,2016-04-01,v1
2005 NOV,12364,2016-04-01,v1
2005 OCT,-374,2016-04-01,v1
2005 Q1,3107,2016-04-01,v1
2005 Q2,15562,2016-04-01,v1
2005 Q3,8856,2016-04-01,v1
2005 Q4,18808,2016-04-01,v1
2005 SEP,5317,2016-04-01,v1
2006,36425,2016-04-01,v1
2006 APR,3015,2016-04-01,v1
2006 AUG,5851,2016-04-01,v1
2006 DEC,5185,2016-04-01,v1
2006 FEB,4775,2016-04-01,v1
2006 JAN,-10382,2016-04-01,v1
2006 JUL,-5229,2016-04-01,v1
2006 JUN,6639,2016-04-01,v1
2006 MAR,4019,2016-04-01,v1
2006 MAY,7803,2016-04-01,v1
2006 NOV,10845,2016-04-01,v1
2006 OCT,-2346,2016-04-01,v1
2006 Q1,-1588,2016-04-01,v1
2006 Q2,17457,2016-04-01,v1
2006 Q3,6872,2016-04-01,v1
2006 Q4,13684,2016-04-01,v1
2006 SEP,6250,2016-04-01,v1
2007,40687,2016-04-01,v1
2007 APR,1299,2016-04-01,v1
2007 AUG,8218,2016-04-01,v1
2007 DEC,7090,2016-04-01,v1
2007 FEB,2279,2016-04-01,v1
2007 JAN,-9827,2016-04-01,v1
2007 JUL,-5635,2016-04-01,v1
2007 JUN,6743,2016-04-01,v1
2007 MAR,6631,2016-04-01,v1
2007 MAY,8191,2016-04-01,v1
2007 NOV,10383,2016-04-01,v1
2007 OCT,-214,2016-04-01,v1
2007 Q1,-917,2016-04-01,v1
2007 Q2,16233,2016-04-01,v1
2007 Q3,8112,2016-04-01,v1
2007 Q4,17259,2016-04-01,v1
2007 SEP,5529,2016-04-01,v1
2008,75593,2016-04-01,v1
2008 APR,3671,2016-04-01,v1
2008 AUG,10570,2016-04-01,v1
2008 DEC,15503,2016-04-01,v1
2008 FEB,5005,2016-04-01,v1
2008 JAN,-13022,2016-04-01,v1
2008 JUL,-3771,2016-04-01,v1
2008 JUN,8870,2016-04-01,v1
2008 MAR,7309,2016-04-01,v1
2008 MAY,10311,2016-04-01,v1
2008 NOV,16868,2016-04-01,v1
2008 OCT,3558,2016-04-01,v1
2008 Q1,-708,2016-04-01,v1
2008 Q2,22852,2016-04-01,v1
2008 Q3,17520,2016-04-01,v1
2008 Q4,35929,2016-04-01,v1
2008 SEP,10721,2016-04-01,v1
2009,154144,2016-04-01,v1
2009 APR,8342,2016-04-01,v1
2009 AUG,14396,2016-04-01,v1
2009 DEC,20837,2016-04-01,v1
2009 FEB,11731,2016-04-01,v1
2009 JAN,620,2016-04-01,v1
2009 JUL,5924,2016-04-01,v1
2009 JUN,18345,2016-04-01,v1
2009 MAR,15241,2016-04-01,v1
2009 MAY,15705,2016-04-01,v1
2009 NOV,18106,2016-04-01,v1
2009 OCT,10185,2016-04-01,v1
2009 Q1,27592,2016-04-01,v1
2009 Q2,42392,2016-04-01,v1
2009 Q3,35032,2016-04-01,v1
2009 Q4,49128,2016-04-01,v1
2009 SEP,14712,2016-04-01,v1
2010,144063,2016-04-01,v1
2010 APR,7451,2016-04-01,v1
2010 AUG,13678,2016-04-01,v1
2010 DEC,17576,2016-04-01,v1
2010 FEB,10795,2016-04-01,v1
2010 JAN,2452,2016-04-01,v1
2010 JUL,3958,2016-04-01,v1
2010 JUN,14733,2016-04-01,v1
2010 MAR,14927,2016-04-01,v1
2010 MAY,16533,2016-04-01,v1
2010 NOV,19521,2016-04-01,v1
2010 OCT,8152,2016-04-01,v1
2010 Q1,28174,2016-04-01,v1
2010 Q2,38717,2016-04-01,v1
2010 Q3,31923,2016-04-01,v1
2010 Q4,45249,2016-04-01,v1
2010 SEP,14287,2016-04-01,v1
2011,116630,2016-04-01,v1
2011 APR,9799,2016-04-01,v1
2011 AUG,11654,2016-04-01,v1
2011 DEC,14132,2016-04-01,v1
2011 FEB,11001,2016-04-01,v1
2011 JAN,-4952,2016-04-01,v1
2011 JUL,-857,2016-04-01,v1
2011 JUN,13203,2016-04-01,v1
2011 MAR,14890,2016-04-01,v1
2011 MAY,12487,2016-04-01,v1
2011 NOV,15352,2016-04-01,v1
2011 OCT,7106,2016-04-01,v1
2011 Q1,20939,2016-04-01,v1
2011 Q2,35489,2016-04-01,v1
2011 Q3,23612,2016-04-01,v1
2011 Q4,36590,2016-04-01,v1
2011 SEP,12815,2016-04-01,v1
2012,127856,2016-04-01,v1
2012 APR,19752,2016-04-01,v1
2012 AUG,12343,2016-04-01,v1
2012 DEC,14041,2016-04-01,v1
2012 FEB,11578,2016-04-01,v1
2012 JAN,-6437,2016-04-01,v1
2012 JUL,-989,2016-04-01,v1
2012 JUN,11754,2016-04-01,v1
2012 MAR,15000,2016-04-01,v1
2012 MAY,15603,2016-04-01,v1
2012 NOV,15956,2016-04-01,v1
2012 OCT,7315,2016-04-01,v1
2012 Q1,20141,2016-04-01,v1
2012 Q2,47109,2016-04-01,v1
2012 Q3,23294,2016-04-01,v1
2012 Q4,37312,2016-04-01,v1
2012 SEP,11940,2016-04-01,v1
2013,102734,2016-04-01,v1
2013 APR,9343,2016-04-01,v1
2013 AUG,11064,2016-04-01,v1
2013 DEC,11183,2016-04-01,v1
2013 FEB,8676,2016-04-01,v1
2013 JAN,-6332,2016-04-01,v1
2013 JUL,443,2016-04-01,v1
2013 JUN,11120,2016-04-01,v1
2013 MAR,10948,2016-04-01,v1
2013 MAY,12075,2016-04-01,v1
2013 NOV,15828,2016-04-01,v1
2013 OCT,7956,2016-04-01,v1
2013 Q1,13292,2016-04-01,v1
2013 Q2,32538,2016-04-01,v1
2013 Q3,21937,2016-04-01,v1
2013 Q4,34967,2016-04-01,v1
2013 SEP,10430,2016-04-01,v1
2014,100722,2016-04-01,v1
2014 APR,9424,2016-04-01,v1
2014 AUG,10877,2016-04-01,v1
2014 DEC,11955,2016-04-01,v1
2014 FEB,10795,2016-04-01,v1
2014 JAN,-5520,2016-04-01,v1
2014 JUL,602,2016-04-01,v1
2014 JUN,10383,2016-04-01,v1
2014 MAR,8186,2016-04-01,v1
2014 MAY,12593,2016-04-01,v1
2014 NOV,13089,2016-04-01,v1
2014 OCT,7228,2016-04-01,v1
2014 Q1,13461,2016-04-01,v1
2014 Q2,32400,2016-04-01,v1
2014 Q3,22589,2016-04-01,v1
2014 Q4,32272,2016-04-01,v1
2014 SEP,11110,2016-04-01,v1
2015,82195,2016-04-01,v1
2015 APR,8148,2016-04-01,v1
2015 AUG,11531,2016-04-01,v1
2015 DEC,8085,2016-04-01,v1
2015 FEB,7541,2016-04-01,v1
2015 JAN,-10150,2016-04-01,v1
2015 JUL,-760,2016-04-01,v1
2015 JUN,10069,2016-04-01,v1
2015 MAR,7413,2016-04-01,v1
2015 MAY,10503,2016-04-01,v1
2015 NOV,13577,2016-04-01,v1
2015 OCT,6859,2016-04-01,v1
2015 Q1,4804,2016-04-01,v1
2015 Q2,28720,2016-04-01,v1
2015 Q3,20150,2016-04-01,v1
2015 Q4,28521,2016-04-01,v1
2015 SEP,9379,2016-04-01,v1
2016 FEB,7089,2016-04-01,v1
2016 JAN,-13809,2016-04-01,v1
2010,144150,2016-05-24,v2
2010 APR,7460,2016-05-24,v2
2010 AUG,13688,2016-05-24,v2
2010 DEC,17585,2016-05-24,v2
2010 JUL,3968,2016-05-24,v2
2010 JUN,14744,2016-05-24,v2
2010 MAY,16542,2016-05-24,v2
2010 NOV,19531,2016-05-24,v2
2010 OCT,8162,2016-05-24,v2
2010 Q2,38746,2016-05-24,v2
2010 Q3,31952,2016-05-24,v2
2010 Q4,45278,2016-05-24,v2
2010 SEP,14296,2016-05-24,v2
2011,116494,2016-05-24,v2
2011 APR,9780,2016-05-24,v2
2011 AUG,11635,2016-05-24,v2
2011 DEC,14114,2016-05-24,v2
2011 FEB,11011,2016-05-24,v2
2011 JAN,-4942,2016-05-24,v2
2011 JUL,-876,2016-05-24,v2
2011 JUN,13185,2016-05-24,v2
2011 MAR,14902,2016-05-24,v2
2011 MAY,12468,2016-05-24,v2
2011 NOV,15333,2016-05-24,v2
2011 OCT,7087,2016-05-24,v2
2011 Q1,20971,2016-05-24,v2
2011 Q2,35433,2016-05-24,v2
2011 Q3,23556,2016-05-24,v2
2011 Q4,36534,2016-05-24,v2
2011 SEP,12797,2016-05-24,v2
2012,127613,2016-05-24,v2
2012 APR,19731,2016-05-24,v2
2012 AUG,12323,2016-05-24,v2
2012 DEC,14021,2016-05-24,v2
2012 FEB,11559,2016-05-24,v2
2012 JAN,-6456,2016-05-24,v2
2012 JUL,-1009,2016-05-24,v2
2012 JUN,11734,2016-05-24,v2
2012 MAR,14981,2016-05-24,v2
2012 MAY,15582,2016-05-24,v2
2012 NOV,15935,2016-05-24,v2
2012 OCT,7294,2016-05-24,v2
2012 Q1,20084,2016-05-24,v2
2012 Q2,47047,2016-05-24,v2
2012 Q3,23232,2016-05-24,v2
2012 Q4,37250,2016-05-24,v2
2012 SEP,11918,2016-05-24,v2
2013,102438,2016-05-24,v2
2013 APR,9317,2016-05-24,v2
2013 AUG,11038,2016-05-24,v2
2013 DEC,11158,2016-05-24,v2
2013 FEB,8655,2016-05-24,v2
2013 JAN,-6353,2016-05-24,v2
2013 JUL,417,2016-05-24,v2
2013 JUN,11095,2016-05-24,v2
2013 MAR,10925,2016-05-24,v2
2013 MAY,12049,2016-05-24,v2
2013 NOV,15802,2016-05-24,v2
2013 OCT,7930,2016-05-24,v2
2013 Q1,13227,2016-05-24,v2
2013 Q2,32461,2016-05-24,v2
2013 Q3,21860,2016-05-24,v2
2013 Q4,34890,2016-05-24,v2
2013 SEP,10405,2016-05-24,v2
2014,100315,2016-05-24,v2
2014 APR,9387,2016-05-24,v2
2014 AUG,10839,2016-05-24,v2
2014 DEC,11917,2016-05-24,v2
2014 FEB,10769,2016-05-24,v2
2014 JAN,-5546,2016-05-24,v2
2014 JUL,564,2016-05-24,v2
2014 JUN,10347,2016-05-24,v2
2014 MAR,8162,2016-05-24,v2
2014 MAY,12556,2016-05-24,v2
2014 NOV,13053,2016-05-24,v2
2014 OCT,7192,2016-05-24,v2
2014 Q1,13385,2016-05-24,v2
2014 Q2,32290,2016-05-24,v2
2014 Q3,22478,2016-05-24,v2
2014 Q4,32162,2016-05-24,v2
2014 SEP,11075,2016-05-24,v2
2015,79600,2016-05-24,v2
2015 APR,7690,2016-05-24,v2
2015 AUG,11438,2016-05-24,v2
2015 DEC,7826,2016-05-24,v2
2015 FEB,7518,2016-05-24,v2
2015 JAN,-10173,2016-05-24,v2
2015 JUL,-905,2016-05-24,v2
2015 JUN,9748,2016-05-24,v2
2015 MAR,7385,2016-05-24,v2
2015 MAY,10156,2016-05-24,v2
2015 NOV,13234,2016-05-24,v2
2015 OCT,6524,2016-05-24,v2
2015 Q1,4730,2016-05-24,v2
2015 Q2,27594,2016-05-24,v2
2015 Q3,19692,2016-05-24,v2
2015 Q4,27584,2016-05-24,v2
2015 SEP,9159,2016-05-24,v2
2016 FEB,6937,2016-05-24,v2
2016 JAN,-12587,2016-05-24,v2
2016 MAR,4769,2016-05-24,v2
2016 Q1,-881,2016-05-24,v2
2012,127577,2016-05-24,v3
2012 APR,19719,2016-05-24,v3
2012 JUN,11722,2016-05-24,v3
2012 MAY,15570,2016-05-24,v3
2012 Q2,47011,2016-05-24,v3
2015,79242,2016-05-24,v3
2015 APR,7516,2016-05-24,v3
2015 AUG,11348,2016-05-24,v3
2015 DEC,7927,2016-05-24,v3
2015 JUL,-881,2016-05-24,v3
2015 JUN,9767,2016-05-24,v3
2015 MAY,10171,2016-05-24,v3
2015 NOV,13095,2016-05-24,v3
2015 OCT,6453,2016-05-24,v3
2015 Q2,27454,2016-05-24,v3
2015 Q3,19583,2016-05-24,v3
2015 Q4,27475,2016-05-24,v3
2015 SEP,9116,2016-05-24,v3
2016 APR,7186,2016-05-24,v3
2016 FEB,7228,2016-05-24,v3
2016 JAN,-12491,2016-05-24,v3
2016 MAR,6718,2016-05-24,v3
2016 Q1,1455,2016-05-24,v3
1998,-544,2016-06-21,v4
1998 APR,1588,2016-06-21,v4
1998 AUG,1716,2016-06-21,v4
1998 DEC,619,2016-06-21,v4
1998 JUL,-2993,2016-06-21,v4
1998 JUN,3039,2016-06-21,v4
1998 MAY,3533,2016-06-21,v4
1998 NOV,2658,2016-06-21,v4
1998 OCT,-6729,2016-06-21,v4
1998 Q2,8160,2016-06-21,v4
1998 Q3,-63,2016-06-21,v4
1998 Q4,-3452,2016-06-21,v4
1998 SEP,1214,2016-06-21,v4
1999,-11024,2016-06-21,v4
1999 APR,166,2016-06-21,v4
1999 AUG,1253,2016-06-21,v4
1999 DEC,1172,2016-06-21,v4
1999 FEB,-2387,2016-06-21,v4
1999 JAN,-7088,2016-06-21,v4
1999 JUL,-3659,2016-06-21,v4
1999 JUN,2218,2016-06-21,v4
1999 MAR,442,2016-06-21,v4
1999 MAY,3218,2016-06-21,v4
1999 NOV,2274,2016-06-21,v4
1999 OCT,-7581,2016-06-21,v4
1999 Q1,-9033,2016-06-21,v4
1999 Q2,5602,2016-06-21,v4
1999 Q3,-3458,2016-06-21,v4
1999 Q4,-4135,2016-06-21,v4
1999 SEP,-1052,2016-06-21,v4
2000,-15652,2016-06-21,v4
2000 AUG,5692,2016-06-21,v4
2000 DEC,1964,2016-06-21,v4
2000 JUL,-5670,2016-06-21,v4
2000 JUN,5447,2016-06-21,v4
2000 MAR,-1596,2016-06-21,v4
2000 Q1,-12427,2016-06-21,v4
2000 Q2,2135,2016-06-21,v4
2000 Q3,-4280,2016-06-21,v4
2000 Q4,-1080,2016-06-21,v4
2000 SEP,-4302,2016-06-21,v4
2001,-7457,2016-06-21,v4
2001 APR,-1608,2016-06-21,v4
2001 AUG,1107,2016-06-21,v4
2001 DEC,3437,2016-06-21,v4
2001 FEB,-2307,2016-06-21,v4
2001 JAN,-11515,2016-06-21,v4
2001 JUL,-4780,2016-06-21,v4
2001 JUN,2341,2016-06-21,v4
2001 MAR,-102,2016-06-21,v4
2001 MAY,4149,2016-06-21,v4
2001 NOV,5694,2016-06-21,v4
2001 OCT,-4896,2016-06-21,v4
2001 Q1,-13924,2016-06-21,v4
2001 Q2,4882,2016-06-21,v4
2001 Q3,-2650,2016-06-21,v4
2001 Q4,4235,2016-06-21,v4
2001 SEP,1023,2016-06-21,v4
2002,20166,2016-06-21,v4
2002 DEC,5251,2016-06-21,v4
2002 FEB,-87,2016-06-21,v4
2002 JAN,-8034,2016-06-21,v4
2002 MAR,2205,2016-06-21,v4
2002 NOV,7450,2016-06-21,v4
2002 OCT,-1617,2016-06-21,v4
2002 Q1,-5916,2016-06-21,v4
2002 Q3,3698,2016-06-21,v4
2002 Q4,11084,2016-06-21,v4
2002 SEP,3699,2016-06-21,v4
2003,33282,2016-06-21,v4
2003 AUG,5124,2016-06-21,v4
2003 DEC,4997,2016-06-21,v4
2003 JUL,-2385,2016-06-21,v4
2003 JUN,5860,2016-06-21,v4
2003 MAR,2209,2016-06-21,v4
2003 NOV,7724,2016-06-21,v4
2003 OCT,-611,2016-06-21,v4
2003 Q1,632,2016-06-21,v4
2003 Q2,13716,2016-06-21,v4
2003 Q3,6824,2016-06-21,v4
2003 Q4,12110,2016-06-21,v4
2004,39492,2016-06-21,v4
2004 APR,4464,2016-06-21,v4
2004 MAR,1507,2016-06-21,v4
2004 MAY,7784,2016-06-21,v4
2004 Q1,-1135,2016-06-21,v4
2004 Q2,15679,2016-06-21,v4
2005,46331,2016-06-21,v4
2005 APR,-8478,2016-06-21,v4
2005 DEC,6819,2016-06-21,v4
2005 MAR,4296,2016-06-21,v4
2005 MAY,12233,2016-06-21,v4
2005 NOV,12363,2016-06-21,v4
2005 OCT,-375,2016-06-21,v4
2005 Q1,3108,2016-06-21,v4
2005 Q2,15560,2016-06-21,v4
2005 Q4,18807,2016-06-21,v4
2006,36403,2016-06-21,v4
2006 APR,3009,2016-06-21,v4
2006 DEC,5184,2016-06-21,v4
2006 FEB,4776,2016-06-21,v4
2006 JAN,-10381,2016-06-21,v4
2006 JUN,6632,2016-06-21,v4
2006 MAY,7797,2016-06-21,v4
2006 NOV,10843,2016-06-21,v4
2006 OCT,-2348,2016-06-21,v4
2006 Q1,-1586,2016-06-21,v4
2006 Q2,17438,2016-06-21,v4
2006 Q4,13679,2016-06-21,v4
2007,40688,2016-06-21,v4
2007 AUG,8225,2016-06-21,v4
2007 DEC,6488,2016-06-21,v4
2007 FEB,2283,2016-06-21,v4
2007 JAN,-9823,2016-06-21,v4
2007 JUL,-5266,2016-06-21,v4
2007 JUN,6742,2016-06-21,v4
2007 MAR,6634,2016-06-21,v4
2007 NOV,10673,2016-06-21,v4
2007 OCT,93,2016-06-21,v4
2007 Q1,-906,2016-06-21,v4
2007 Q2,16232,2016-06-21,v4
2007 Q3,8108,2016-06-21,v4
2007 Q4,17254,2016-06-21,v4
2007 SEP,5149,2016-06-21,v4
2008,75561,2016-06-21,v4
2008 APR,3666,2016-06-21,v4
2008 AUG,10571,2016-06-21,v4
2008 DEC,15502,2016-06-21,v4
2008 FEB,5003,2016-06-21,v4
2008 JAN,-13024,2016-06-21,v4
2008 JUL,-3770,2016-06-21,v4
2008 JUN,8863,2016-06-21,v4
2008 MAR,7310,2016-06-21,v4
2008 MAY,10306,2016-06-21,v4
2008 NOV,16863,2016-06-21,v4
2008 OCT,3553,2016-06-21,v4
2008 Q1,-711,2016-06-21,v4
2008 Q2,22835,2016-06-21,v4
2008 Q3,17519,2016-06-21,v4
2008 Q4,35918,2016-06-21,v4
2008 SEP,10718,2016-06-21,v4
2009,154213,2016-06-21,v4
2009 APR,8348,2016-06-21,v4
2009 AUG,14401,2016-06-21,v4
2009 DEC,20844,2016-06-21,v4
2009 FEB,11736,2016-06-21,v4
2009 JAN,625,2016-06-21,v4
2009 JUL,5929,2016-06-21,v4
2009 JUN,18352,2016-06-21,v4
2009 MAR,15246,2016-06-21,v4
2009 MAY,15711,2016-06-21,v4
2009 NOV,18112,2016-06-21,v4
2009 OCT,10191,2016-06-21,v4
2009 Q1,27607,2016-06-21,v4
2009 Q2,42411,2016-06-21,v4
2009 Q3,35048,2016-06-21,v4
2009 Q4,49147,2016-06-21,v4
2009 SEP,14718,2016-06-21,v4
2010,144135,2016-06-21,v4
2010 AUG,13684,2016-06-21,v4
2010 DEC,17573,2016-06-21,v4
2010 FEB,10808,2016-06-21,v4
2010 JAN,2465,2016-06-21,v4
2010 JUL,3964,2016-06-21,v4
2010 JUN,14739,2016-06-21,v4
2010 MAR,14937,2016-06-21,v4
2010 NOV,19519,2016-06-21,v4
2010 OCT,8150,2016-06-21,v4
2010 Q1,28210,2016-06-21,v4
2010 Q2,38741,2016-06-21,v4
2010 Q3,31942,2016-06-21,v4
2010 Q4,45242,2016-06-21,v4
2010 SEP,14294,2016-06-21,v4
2011,116483,2016-06-21,v4
2011 DEC,14111,2016-06-21,v4
2011 FEB,11013,2016-06-21,v4
2011 JAN,-4940,2016-06-21,v4
2011 JUN,13184,2016-06-21,v4
2011 MAR,14900,2016-06-21,v4
2011 NOV,15329,2016-06-21,v4
2011 OCT,7083,2016-06-21,v4
2011 Q1,20973,2016-06-21,v4
2011 Q2,35432,2016-06-21,v4
2011 Q3,23555,2016-06-21,v4
2011 Q4,36523,2016-06-21,v4
2011 SEP,12796,2016-06-21,v4
2012,129447,2016-06-21,v4
2012 APR,19944,2016-06-21,v4
